WCA_	EA_	MAD-E-SE_	MAD-N-W-WR_	MAD-SW-CS_	MAS_	COM-May_	Asia_
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1

WCA_	EA_	MAD-E-SE_	MAD-N-W-WR_	MAD-SW-CS_	MAS_	COM-May_	Asia_
1	1	1	1	1	0	1	1
1	1	1	1	1	0	1	1
1	1	1	1	1	0	1	1
1	1	1	1	1	0	1	1
1	1	1	1	1	0	1	1
1	1	1	1	1	1	0	1
1	1	1	1	1	0	1	1
1	1	1	1	1	0	1	1

WCA_	EA_	MAD-E-SE_	MAD-N-W-WR_	MAD-SW-CS_	MAS_	COM-May_	Asia_
1	1	1	1	1	0	0	1
1	1	1	1	1	0	0	1
1	1	1	1	1	0	0	1
1	1	1	1	1	0	0	1
1	1	1	1	1	0	0	1
1	1	1	1	1	1	0	1
1	1	1	1	1	0	1	1
1	1	1	1	1	0	0	1

END
